Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
38000,0.5271022,0.64835995,61.823914,-1.052641,7.353044e-05,1.3424964837686275,281.0,1.4672526167705655,0.812108451500535,175.61450386047363,3.922911,0.1960094,0.25641134,0.399544,1.4168463,0.47345492,0.52470964,0.013050623
38500,0.58128667,0.69669926,60.15841,-1.0804721,7.052375e-05,-0.21977983610122465,319.5,-0.21977990167215466,1.3597750589251518,201.3877716064453,5.3728323,0.1386886,0.22855353,0.27555314,1.1482706,0.39689022,0.61287504,0.013009783
39000,0.8753956,0.84777135,59.940224,-1.1034659,6.754454e-05,0.4943947389668513,175.33333333333334,0.4943947298452258,0.4850087634598215,99.43622040748596,5.268297,0.22065344,0.13430312,0.24930474,1.2758399,0.4348579,0.5606738,0.012950921
39500,0.61568576,0.80266356,59.377625,-1.1298953,6.442448e-05,1.6365256317840249,139.0,1.6170263051365812,0.3627835065126419,114.1719144185384,5.543621,0.15342495,0.18787342,0.4513987,1.3599906,0.4674227,0.5473908,0.0129358275
40000,0.5997489,0.8965019,56.470646,-1.1572452,6.153286e-05,-0.09720497272428474,196.0,0.5002046059817076,0.964641347527504,62.870874881744385,5.239153,0.34790367,0.15312886,0.22736013,1.1317165,0.37475032,0.62779397,0.012948759
40500,0.63163406,0.7710531,60.398304,-1.1815236,5.8532194e-05,1.7032303278974723,232.5,1.703230366576463,0.5654294658452272,242.7592625617981,24.04433,0.14852342,0.11359601,0.17904297,1.4049132,0.41399923,0.59108585,0.012821732
41000,0.6821325,0.65581864,57.53856,-1.2077605,5.538847e-05,0.3706839036628177,166.33333333333334,0.370683911566933,0.674819141626358,96.50877984364827,10.00634,0.20055918,0.23765297,0.3713068,1.1749978,0.38958204,0.6256613,0.0128137
41500,0.50570166,0.66563123,57.182163,-1.23087,5.2511572e-05,1.021763402139186,384.0,1.0217634532600641,1.595733132213354,157.4572296142578,5.087697,0.1356097,0.14330064,0.188199,1.011268,0.3309312,0.63283485,0.012777944
42000,0.68692493,0.8606807,62.373894,-1.2550887,4.9644514e-05,-2.0626223134531756,555.0,-2.0626223757863045,4.110631138086319,599.6804780960083,34.19375,0.2915846,0.21179715,0.16643146,1.5883865,0.46113038,0.5618186,0.012728555
42500,0.8126028,1.1153688,63.9098,-1.279833,4.6595665e-05,1.769846739982313,100.6,1.7698467273265124,0.27373208459466697,103.45200381278991,8.224355,0.19729847,0.109073654,0.5170321,1.5681405,0.522176,0.50709486,0.012710775
